server,model,request-rate,throughput,latency,energy
tgi,meta-llama/Llama-2-7b-chat-hf,0.25,0.24,24.6,995.62
tgi,meta-llama/Llama-2-7b-chat-hf,0.5,0.48,29.66,497.15
tgi,meta-llama/Llama-2-7b-chat-hf,0.75,0.71,36.05,347.95
tgi,meta-llama/Llama-2-7b-chat-hf,1,0.92,49.39,282.92
tgi,meta-llama/Llama-2-70b-chat-hf,0.25,0.24,95,3149.67
tgi,meta-llama/Llama-2-70b-chat-hf,0.5,0.44,199.5,1679.67
tgi,meta-llama/Llama-2-70b-chat-hf,0.75,0.48,364.77,1618.79
tgi,meta-llama/Llama-2-70b-chat-hf,1,0.49,486.09,1595.88
tgi,mistralai/Mistral-7B-Instruct-v0.2,0.25,0.25,19.01,981.02
tgi,mistralai/Mistral-7B-Instruct-v0.2,0.5,0.49,20.05,478.76
tgi,mistralai/Mistral-7B-Instruct-v0.2,0.75,0.73,22.03,329.94
tgi,mistralai/Mistral-7B-Instruct-v0.2,1,0.97,22.52,258.12
vllm,meta-llama/Llama-2-7b-chat-hf,0.25,0.25,17.99,1159.26
vllm,meta-llama/Llama-2-7b-chat-hf,0.5,0.49,21.12,545.4
vllm,meta-llama/Llama-2-7b-chat-hf,0.75,0.73,25.04,375.67
vllm,meta-llama/Llama-2-7b-chat-hf,1,0.96,31.72,298.52
vllm,meta-llama/Llama-2-70b-chat-hf,0.25,0.24,114.9,2988.34
vllm,meta-llama/Llama-2-70b-chat-hf,0.5,0.46,114.22,1854.36
vllm,meta-llama/Llama-2-70b-chat-hf,0.75,0.67,143.33,1428.61
vllm,meta-llama/Llama-2-70b-chat-hf,1,0.66,319.58,1470.66
vllm,mistralai/Mistral-7B-Instruct-v0.2,0.25,0.25,14.34,1110.35
vllm,mistralai/Mistral-7B-Instruct-v0.2,0.5,0.49,14.75,533.94
vllm,mistralai/Mistral-7B-Instruct-v0.2,0.75,0.74,15.88,363.69
vllm,mistralai/Mistral-7B-Instruct-v0.2,1,0.98,17.1,282.74
tgi,meta-llama/Llama-2-7b-chat-hf,1.25,0.93,138.77,273.66
tgi,meta-llama/Llama-2-7b-chat-hf,1.5,0.99,167.7,248.24
tgi,meta-llama/Llama-2-7b-chat-hf,1.75,0.96,215.94,257.6
tgi,meta-llama/Llama-2-7b-chat-hf,2,0.95,251.06,265.59
tgi,mistralai/Mistral-7B-Instruct-v0.2,1.25,1.19,23.99,217.47
tgi,mistralai/Mistral-7B-Instruct-v0.2,1.5,1.42,26.65,175.94
tgi,mistralai/Mistral-7B-Instruct-v0.2,1.75,1.63,30.07,154.09
tgi,mistralai/Mistral-7B-Instruct-v0.2,2,1.84,31.15,138.39
vllm,meta-llama/Llama-2-7b-chat-hf,1.25,1.18,41.61,244.42
vllm,meta-llama/Llama-2-7b-chat-hf,1.5,1.32,67.82,214.77
vllm,meta-llama/Llama-2-7b-chat-hf,1.75,1.29,116.27,219.9
vllm,meta-llama/Llama-2-7b-chat-hf,2,1.33,138.79,214.94